time,x,y,theta
0,0,0,0
0.1,0.05,0,0
0.2,0.1,0,0
0.3,0.15,0,0
0.4,0.2,0,0
0.5,0.25,0,0
0.6,0.3,0,0
0.7,0.35,0,0
0.8,0.4,0,0
0.9,0.45,0,0
1,0.5,0,0
1.1,0.55,0,0
1.2,0.6,0,0
1.3,0.65,0,0
1.4,0.7,0,0
1.5,0.75,0,0
1.6,0.8,0,0
1.7,0.85,0,0
1.8,0.9,0,0
1.9,0.95,0,0
2,1,0,0
2.1,1.05,0,0
2.2,1.1,0,0
2.3,1.15,0,0
2.4,1.2,0,0
2.5,1.25,0,0
2.6,1.3,0,0
2.7,1.35,0,0
2.8,1.4,0,0
2.9,1.45,0,0
3,1.5,0,0
3.1,1.55,0,0
3.2,1.6,0,0
3.3,1.65,0,0
3.4,1.7,0,0
3.5,1.75,0,0
3.6,1.8,0,0
3.7,1.85,0,0
3.8,1.9,0,0
3.9,1.95,0,0
4,2,0,0
4.1,2.05,0,0
4.2,2.1,0,0
4.3,2.15,0,0
4.4,2.2,0,0
4.5,2.25,0,0
4.6,2.3,0,0
4.7,2.35,0,0
4.8,2.4,0,0
4.9,2.45,0,0
5,2.5,0,0
5.1,2.55,0,0
5.2,2.6,0,0
5.3,2.65,0,0
5.4,2.7,0,0
5.5,2.75,0,0
5.6,2.8,0,0
5.7,2.85,0,0
5.8,2.9,0,0
5.9,2.95,0,0
6,3,0,0
6.1,3.05,0,0
6.2,3.1,0,0
6.3,3.15,0,0
6.4,3.2,0,0
6.5,3.25,0,0
6.6,3.3,0,0
6.7,3.35,0,0
6.8,3.4,0,0
6.9,3.45,0,0
7,3.5,0,0
7.1,3.55,0,0
7.2,3.6,0,0
7.3,3.65,0,0
7.4,3.7,0,0
7.5,3.75,0,0
7.6,3.8,0,0
7.7,3.85,0,0
7.8,3.9,0,0
7.9,3.95,0,0
8,4,0,0
8.1,4.05,0,0
8.2,4.1,0,0
8.3,4.15,0,0
8.4,4.2,0,0
8.5,4.25,0,0
8.6,4.3,0,0
8.7,4.35,0,0
8.8,4.4,0,0
8.9,4.45,0,0
9,4.5,0,0
9.1,4.55,0,0
9.2,4.6,0,0
9.3,4.65,0,0
9.4,4.7,0,0
9.5,4.75,0,0
9.6,4.8,0,0
9.7,4.85,0,0
9.8,4.9,0,0
9.9,4.95,0,0
10,5,0,0
